code,recommend_org,jcc_1,jcc_2,jcc_3,how_important,colleagues_imp,management_imp,reports_imp,age_diff_imp,goddard,anxiety_attachment,avoidance_attachment,orgid_behavioral,orgid_affective,orgid_cognitive,orgid_total,org_group_membership_Jansen,org_group_affection_Jansen,org_room_for_authenticity_Jansen,org_value_in_authenticity_Jansen,jansen_bel_o,jansen_au_o,team_group_affection_Jansen,team_group_membership_Jansen,team_room_for_authenticity_Jansen,team_value_in_authenticity_Jansen,jansen_bel_t,jansen_au_t,work_group_cohesivenss_Riordan,work_group_communication_Riordan,work_group_identification_Riordan,work_group_identification_total_Riordan,wrz_job,wrz_career,wrz_calling,team_in_self,org_in_self,self_distance_most_belong,self_distance_least_belong,autonomy_sat,competence_sat,relatedness_sat,psych_needs_tot,proficiency_ind,adaptivity_ind,proactivity_ind,proficiency_team,adaptivity_team,proactivity_team,job_perf_tot,workerid,n_refs,n_antirefs,workerid..55,employ_sitch,employ_sitch_other,months_since_emp,self_employed,self_employed_other,hrs_worked,full_time_position,tenure,income_personal_lt,income_household_lt,code..66,shs_1,shs_2,shs_3,shs_4,shs_sum,big5_e,big5_n,big5_c,big5_a,big5_o,wss,jss_total,jss_pay,jss_promotion,jss_supervision,jss_benefits,jss_contingent,jss_ops,jss_coworkers,jss_nature,jss_comms,cmws_total,cmws_inspiring,cmws_unity,cmws_serving,cmws_fullpo,cmws_become,cmws_reality,cmws_balancing,naq_work,naq_personal,naq_physical,naq_total,mspss_total,mspss_friends,mspss_coworker,mspss_so,mspss_family,uwes_vigor,uwes_ded,uwes_absorp,uwes_tot,wss_1,wss_2,wss_3,engagement_1,engagement_2,engagement_3,engagement_4,engagement_5,engagement_6,engagement_7,engagement_8,engagement_9,phq4_1,phq4_2,phq4_3,phq4_4,workerid..145,how_meaningful,sacrifice,id,religious,spiritual,atheist,agnostic,religious_affil,which_religion,have_kids,num_kids,raise_kids,youngest_child,oldest_child,child_age,lifesat_1,lifesat_2,lifesat_3,lifesat_4,lifesat_5,oms_1,oms_2,oms_3,oms_4,oms_5,oms_6,oms_7,socdes_sum,uls8_sum,lifesat_sum,workerid..196,hitid,time_demo1,time_work1,code..200,time_work2,time_work_habit,time_work_remote,time_demo2,income_household_lt..205,birth_country,living_sitch,sexuality,height,weight,remote_productive,remote_happy,remote_engaged,remote_creative,remote_energized,remote_days,remote_hrs,self_care_work__workout,self_care_work__meditate,self_care_work__nap,self_care_work__handiwork,self_care_work__journal,self_care_work__yoga,self_care_work__dance,self_care_work__read,self_care_work__draw,self_care_work__pray,self_care_work__walk,self_care_all__workout,self_care_all__meditate,self_care_all__nap,self_care_all__handiwork,self_care_all__journal,self_care_all__yoga,self_care_all__dance,self_care_all__read,self_care_all__draw,self_care_all__pray,self_care_all__walk,travel_days,vacation_leave,sick_leave,parent_leave,other_leave,what_other_leave,can_remote_work,do_remote_work,last_promotion,last_raise,last_evaluation,compared_to_same_profession__good_at_job,compared_to_same_profession__career_progress,compared_to_same_profession__job_satisfaction,compared_to_same_career__good_at_job,compared_to_same_career__career_progress,compared_to_same_career__job_satisfaction,travel_required,pay_type_annual,pay_type_hourly,pay_type_commission,pay_type_lump,pay_type_equity,pay_type_other,exact_salary,n_job_switch_5yr,itl,job_req_contact,job_req_lead,job_req_deal_with,job_req_email,job_req_responsible,job_req_teammwork,start_day,end_day,start_date,end_date,ip_address,duration,responseid,latitude,longitude,sex,age,political,race,race_other,edu,employ_sitch..288,employ_sitch_other..289,months_since_emp..290,self_employed..291,self_employed_other..292,days_worked,hrs_worked..294,full_time_position..295,tenure..296,org_size_lt,work_cat,on_team,team_size,lead_or_ic,direct_reps,sector,num_switch,last_raise_mo,last_promo_mo,edu_str,mgr_ic,income_bracket,engagement_avg,edu_numeric,edu_bunch,edu_bunch2,age_range,goddard4,jansen_t4,raise_3mo,promo_3mo,raise_6mo,promo_6mo,raise_12mo,promo_12mo
CO,6,3.0,3.0,2.0,6,6.4,5.6,NaN,2.0,21,76,84,10,12,4,26,13,12,13,8,25,21,12,15,13,8,30,26,33,21,20,74,3,3,2,4,3,4,3,11,12,8,31,12,10,7,11,11,7,58,A149ROBL26JWPJ,0,0,A149ROBL26JWPJ,1.0,NaN,NaN,1.0,NaN,45.0,1.0,60,3.0,NA,CO,3.0,3.0,2.0,3.0,18,17,18,19,14,17,13,NA,NA,NA,NA,NA,NA,NA,134,NA,13,84,8,21,11,11,12,9,12,18,17,4,39,126,21,64,19,22,13,11,10,34,5.0,4.0,4.0,4,5,3,4,6,4,5,4,4,3.0,3.0,2.0,2.0,A149ROBL26JWPJ,25,20,5803,NA,NA,NA,NA,0.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,NA,20,NA,A149ROBL26JWPJ,3TLFH2L6Y95VHW1P4XFUFLQCPMF2TR,14,20,CO,1719.0,36.0,3.0,23.0,4.0,1.0,1.0,Straight,70.0,170.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,NaN,0.0,2.0,0.0,1.0,"It was kind of like a ""mental health day"" in which I wanted to get away from work and get some things done, help some other people out, relax, etc.",0.0,"NA",5.0,3.0,NA,7.0,6.0,6.0,7.0,6.0,6.0,0.0,1.0,NaN,NaN,NaN,NaN,NaN,32000,NA,2,40.0,60.0,20.0,90.0,27.0,69.0,19.0,35.0,6/6/18 8:37,6/6/18 9:09,73.126.19.239,1888,R_1Nq9hXkm8ULyWNd,42.75050354,-71.00930023,m,28,Conservative,White,NaN,5,1,NaN,NaN,1.0,NaN,5.0,45.0,1.0,52.0,5000,Business and Financial Operations,1.0,15.0,2.0,NaN,profit,0,12,25,Bachelors,Individual contributor,NA,4.333333333333333,5,Undergrad,Undergrad,25-34,2,1,0,0,0,0,1,0
CO,7,2.0,4.0,2.0,8.1,8.8,7.8,NaN,4.0,21,80,59,9,12,4,25,13,14,11,9,27,20,14,15,11,9,30,24,34,22,23,79,2,4,2,4,4,4,5,10,13,11,34,14,13,9,12,12,10,70,A3GAQNTZ1V1VO,1,0,A3GAQNTZ1V1VO,1.0,NaN,NaN,1.0,NaN,40.0,1.0,32,4.0,NA,CO,5.0,5.0,5.0,6.0,28,14,16,23,20,19,14,NA,NA,NA,NA,NA,NA,NA,142,NA,11,92,9,19,13,11,13,11,16,10,15,4,29,126,24,64,10,28,17,11,12,40,5.0,5.0,4.0,5,5,6,4,6,4,5,5,5,2.0,1.0,1.0,1.0,A3GAQNTZ1V1VO,48,5,5791,NA,NA,NA,NA,0.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,2.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,NA,24,NA,A3GAQNTZ1V1VO,31ANT7FQN8JXBKTHMM03Z9Q0Y2B5HL,17,30,CO,266.0,79.0,5.0,43.0,6.0,1.0,1.0,Straight,67.0,163.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,6.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,8.0,1.0,1.0,8.0,NaN,10.0,4.0,0.0,2.0,"We have 4 ""administrative leave"" days that we are entitled to every year that we have to use up or lose by the end of each fiscal year. I typically use at least two of them for mental health days.",0.0,"NA",3.0,3.0,NA,9.0,8.0,5.0,8.0,7.0,5.0,0.0,1.0,NaN,NaN,NaN,NaN,NaN,52500,NA,2,65.0,95.0,46.0,100.0,43.0,82.0,18.0,10.0,6/6/18 8:47,6/6/18 8:56,170.115.248.23,545,R_2ZIiMikA3JojoST,40.03259277,-75.11579895,m,28,Centrist,Asian,NaN,6,1,NaN,NaN,1.0,NaN,5.0,40.0,1.0,32.0,100,Business and Financial Operations,1.0,5.0,2.0,NaN,gov,1,12,12,Masters,Individual contributor,NA,5,6,Masters,Graduate,25-34,2,1,0,0,0,0,1,1
CO,6,3.0,3.0,1.0,7,7.0,6.0,NaN,3.0,25,50,64,7,13,5,25,15,16,17,14,31,31,16,18,17,14,35,32,38,22,26,86,3,3,1,3,2,4,3,13,12,11,36,14,8,8,13,10,10,63,A3L0DCUXI7X3A9,1,0,A3L0DCUXI7X3A9,1.0,NaN,NaN,1.0,NaN,40.0,1.0,36,3.0,NA,CO,5.0,4.0,5.0,5.0,26,13,9,22,14,16,10,NA,NA,NA,NA,NA,NA,NA,125,NA,8,89,8,22,11,11,15,11,11,15,15,4,34,129,24,64,20,21,15,10,10,35,5.0,3.0,2.0,4,4,6,4,5,4,5,4,4,2.0,1.0,1.0,1.0,A3L0DCUXI7X3A9,50,1,6636,NA,NA,NA,NA,1.0,12.0,0.0,NaN,NaN,NaN,NaN,NaN,5.0,5.0,6.0,5.0,2.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,NA,15,NA,A3L0DCUXI7X3A9,33QQ60S6ASZ3LZD0PF1Q1TJZCGKU01,19,39,CO,178.0,48.0,43.0,41.0,3.0,1.0,1.0,Straight,74.0,175.0,-2.0,-4.0,6.0,-2.0,2.0,1.0,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,NaN,10.0,3.0,0.0,0.0,NaN,1.0,Yes,5.0,3.0,NA,10.0,7.0,8.0,9.0,9.0,8.0,0.0,1.0,NaN,NaN,NaN,NaN,NaN,40000,NA,2,50.0,40.0,40.0,100.0,60.0,80.0,17.0,11.0,6/10/18 15:27,6/10/18 15:37,73.194.199.39,614,R_SZyOCPM2IeKZjMZ,39.76460266,-74.28780365,m,46,Conservative,White,NaN,3,1,NaN,NaN,1.0,NaN,5.0,40.0,1.0,36.0,100,Information Technology,1.0,5.0,2.0,NaN,profit,1,12,25,Some college,Individual contributor,NA,4.444444444444445,3,No undergrad,No undergrad,45-54,3,3,0,0,0,0,1,0
CO,6,3.0,4.0,1.0,2.8,4.4,2.9,4.7,1.0,23,19,29,5,4,4,13,7,7,5,7,14,12,7,13,5,7,32,36,31,20,8,59,3,4,1,5,2,4,3,15,13,11,39,12,12,6,13,12,7,62,AMPMTF5IAAMK8,3,0,AMPMTF5IAAMK8,1.0,NaN,NaN,1.0,NaN,40.0,1.0,36,3.0,NA,CO,6.0,6.0,6.0,6.0,31,23,5,18,23,21,21,NA,NA,NA,NA,NA,NA,NA,143,NA,13,72,4,24,8,8,12,12,4,9,12,3,24,150,28,67,27,28,19,3,7,29,7.0,7.0,7.0,7,7,4,2,2,2,3,2,5,1.0,1.0,1.0,1.0,AMPMTF5IAAMK8,24,3,5845,NA,NA,NA,NA,0.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,6.0,6.0,6.0,6.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,NA,13,NA,AMPMTF5IAAMK8,3FVBZG9CLJVYGD7GPGURIEU9HWOH04,23,36,CO,204.0,55.0,4.0,30.0,3.0,1.0,1.0,Straight,73.0,240.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,NaN,7.0,0.0,0.0,0.0,NaN,0.0,"NA",5.0,3.0,NA,8.0,4.0,4.0,8.0,4.0,4.0,0.0,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NA,2,85.0,88.0,29.0,0.0,33.0,72.0,13.0,29.0,6/6/18 14:44,6/6/18 14:51,24.216.119.105,435,R_2VR329R7aQsepL4,38.50320435,-89.14969635,m,37,Far left,White,NaN,6,1,NaN,NaN,1.0,NaN,5.0,40.0,0.0,NaN,NaN,Food Preparation and Serving Related,1.0,20.0,2.0,NaN,profit,1,12,25,Masters,Individual contributor,NA,3.7777777777777777,6,Masters,Graduate,35-44,3,2,0,0,0,0,1,0
CO,10,3.0,4.0,3.0,10,10.0,10.0,10.0,4.0,25,116,41,15,18,6,39,16,20,20,20,36,40,20,16,20,20,36,40,46,26,35,107,3,4,3,7,7,5,5,12,12,13,37,15,15,10,14,15,9,78,A2BEC2FXO2NEV2,15,0,A2BEC2FXO2NEV2,1.0,NaN,NaN,1.0,NaN,40.0,1.0,186,4.0,NA,CO,5.0,5.0,4.0,2.0,23,11,16,22,24,21,15,NA,NA,NA,NA,NA,NA,NA,131,NA,14,94,8,20,19,14,8,9,16,13,20,5,38,145,24,77,24,20,19,13,15,47,5.0,5.0,5.0,6,6,6,6,5,5,6,6,6,3.0,3.0,3.0,3.0,A2BEC2FXO2NEV2,80,30,6570,NA,NA,NA,NA,1.0,7.0,1.0,2.0,1.0,8.0,17.0,NaN,2.0,2.0,6.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,NA,27,NA,A2BEC2FXO2NEV2,3W9XHF7WGKCQYC5FT3LYFHC67VYTKK,34,84,CO,333.0,103.0,19.0,255.0,4.0,1.0,1.0,Straight,62.0,150.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,6.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,NaN,21.0,3.0,0.0,0.0,NaN,1.0,No,5.0,5.0,NA,11.0,11.0,11.0,11.0,11.0,11.0,0.0,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NA,1,80.0,60.0,20.0,1.0,100.0,100.0,13.0,6.0,6/10/18 5:10,6/10/18 5:27,73.177.6.10,1031,R_DBqInTOXVZUOtIR,32.37060547,-90.17549896,f,47,Liberal,Black,NaN,4,1,NaN,NaN,1.0,NaN,5.0,40.0,0.0,NaN,NaN,Office and Administrative Support,1.0,14.0,2.0,NaN,profit,0,25,25,Associates,Individual contributor,NA,5.777777777777778,4,No undergrad,No undergrad,45-54,3,3,0,0,0,0,0,0
CO,8,1.0,2.0,4.0,7.2,8.8,7.7,9.1,4.0,25,45,45,13,17,6,36,19,16,16,19,35,35,16,19,16,19,39,34,47,25,27,99,1,2,4,5,4,4,2,13,14,12,39,14,11,8,14,10,8,65,A5ET25WTBJC0J,2,0,A5ET25WTBJC0J,1.0,NaN,NaN,1.0,NaN,45.0,1.0,76,5.0,NA,CO,6.0,5.0,5.0,6.0,29,21,8,22,21,24,16,NA,NA,NA,NA,NA,NA,NA,176,NA,17,109,15,23,16,15,13,11,16,15,20,4,39,146,22,77,24,23,17,13,13,43,6.0,5.0,5.0,4,6,6,5,5,6,6,4,6,2.0,1.0,1.0,1.0,A5ET25WTBJC0J,24,19,6134,NA,NA,NA,NA,0.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,6.0,6.0,6.0,5.0,6.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,NA,18,NA,A5ET25WTBJC0J,3H4IKZHALBZTB5LYTKR2YANIB5INNC,20,45,CO,226.0,54.0,39.0,41.0,5.0,1.0,1.0,Straight,69.0,155.0,7.0,-5.0,7.0,5.0,6.0,1.0,9,4.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,4.0,NaN,7.0,2.0,0.0,4.0,I took off a few days to go to a festival with some friends of mind that was across the country. ,1.0,Yes,5.0,3.0,NA,9.0,8.0,8.0,9.0,8.0,8.0,0.0,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NA,1,68.0,80.0,28.0,97.0,64.0,80.0,17.0,13.0,6/7/18 16:05,6/7/18 16:14,104.162.78.175,534,R_1gTtlG2rMs8ZO0W,40.62339783,-74.02880096,m,35,Liberal,White,NaN,5,1,NaN,NaN,1.0,NaN,5.0,45.0,1.0,58.0,100,Marketing and Advertising,1.0,8.0,2.0,NaN,profit,0,12,25,Bachelors,Individual contributor,NA,5.333333333333333,5,Undergrad,Undergrad,35-44,3,3,0,0,0,0,1,0
CO,6,2.0,4.0,2.0,6.9,5.0,5.0,5.1,4.0,17,88,46,8,10,4,22,15,12,12,12,27,24,12,13,12,12,28,27,27,15,17,59,2,4,2,3,3,2,2,9,9,6,24,12,9,6,9,9,9,54,A2ZBDD2PGJ262Y,0,0,A2ZBDD2PGJ262Y,1.0,NaN,NaN,1.0,NaN,40.0,1.0,24,3.0,NA,CO,5.0,4.0,4.0,4.0,24,16,17,18,22,12,14,NA,NA,NA,NA,NA,NA,NA,126,NA,10,88,10,18,10,13,11,10,16,10,13,3,26,131,19,63,24,25,11,9,13,33,5.0,5.0,4.0,4,4,2,4,4,4,6,5,5,3.0,3.0,2.0,2.0,A2ZBDD2PGJ262Y,44,30,6633,NA,NA,NA,NA,0.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,6.0,6.0,6.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,NA,22,NA,A2ZBDD2PGJ262Y,3RWB1RTQDJ48BJA73XFBK22INX4P8N,20,47,CO,244.0,46.0,35.0,37.0,3.0,1.0,2.0,Bisexual,68.0,118.0,-8.0,-9.0,-8.0,0.0,1.0,5.0,30,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,NaN,1.0,Yes,4.0,6.0,NA,6.0,6.0,7.0,6.0,6.0,7.0,1.0,1.0,NaN,NaN,NaN,NaN,NaN,30000,NA,1,18.0,41.0,8.0,96.0,26.0,20.0,29.0,48.0,6/10/18 14:38,6/10/18 14:47,98.180.243.107,540,R_TgZj3l1CsSjuCpX,29.638107300000005,-82.41410065,f,27,Liberal,White,NaN,6,1,NaN,NaN,1.0,NaN,6.0,40.0,1.0,24.0,50000,"Education, Training, and Library",1.0,3.0,3.0,10.0,non_profit,1,NaN,24,Masters,Both manager and IC,NA,4.222222222222222,6,Masters,Graduate,25-34,1,1,0,0,0,0,0,0
CO,8,1.0,3.0,2.0,9,7.0,8.0,NaN,4.0,21,56,66,12,15,5,32,16,16,16,16,32,32,16,16,16,16,32,32,40,24,26,90,1,3,2,5,4,4,5,12,11,12,35,12,9,9,12,9,9,60,A1ZT30BGR3266K,3,0,A1ZT30BGR3266K,1.0,NaN,NaN,1.0,NaN,40.0,1.0,36,4.0,NA,CO,4.0,4.0,3.0,5.0,23,15,18,19,17,16,17,NA,NA,NA,NA,NA,NA,NA,156,NA,16,98,10,22,14,13,13,10,16,9,13,4,26,134,20,70,24,20,14,10,12,36,6.0,6.0,5.0,4,4,5,4,5,4,5,5,5,1.0,1.0,1.0,1.0,A1ZT30BGR3266K,39,12,6152,NA,NA,NA,NA,0.0,NaN,1.0,2.0,1.0,3.0,5.0,NaN,5.0,6.0,5.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,NA,17,NA,A1ZT30BGR3266K,3CMIQF80GN767HSYAVX20TW1LQGQ6S,17,34,CO,251.0,66.0,4.0,62.0,4.0,1.0,3.0,Straight,64.0,144.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,NaN,8.0,2.0,2.0,2.0,I attended a conference relating to my position,0.0,"NA",5.0,3.0,NA,7.0,6.0,7.0,7.0,7.0,7.0,0.0,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NA,1,44.0,62.0,6.0,87.0,41.0,54.0,17.0,11.0,6/7/18 16:23,6/7/18 16:32,173.26.103.49,527,R_23TTrrKEmy0548D,37.20610046,-93.30319977,f,34,Centrist,White,NaN,4,1,NaN,NaN,1.0,NaN,5.0,40.0,0.0,NaN,NaN,Business and Financial Operations,1.0,5.0,2.0,NaN,profit,0,12,25,Associates,Individual contributor,NA,4.555555555555555,4,No undergrad,No undergrad,25-34,2,2,0,0,0,0,1,0
CO,5,4.0,2.0,1.0,1.6,5.2,1.1,2.1,3.0,15,78,77,3,3,1,7,8,10,8,5,18,13,10,9,8,5,20,20,12,7,11,30,4,2,1,2,3,3,2,12,9,7,28,10,9,7,8,7,3,44,AEWGY34WUIA32,2,0,AEWGY34WUIA32,1.0,NaN,NaN,1.0,NaN,40.0,1.0,48,3.0,NA,AF,4.0,4.0,3.0,4.0,19,8,18,11,14,14,7,NA,NA,NA,NA,NA,NA,NA,125,NA,12,75,4,19,13,8,10,11,10,11,14,3,28,91,18,24,26,23,4,0,0,4,4.0,1.0,2.0,1,1,1,1,1,1,1,1,1,2.0,2.0,2.0,2.0,AEWGY34WUIA32,37,0,5856,NA,NA,NA,NA,0.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,4.0,3.0,5.0,5.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,NA,21,NA,AEWGY34WUIA32,3HJ1EVZS2O07MZKG48O4YGUM7H6R36,14,25,CO,153.0,34.0,24.0,131.0,3.0,1.0,3.0,Straight,60.0,140.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,NaN,20.0,5.0,0.0,0.0,NaN,0.0,"NA",5.0,5.0,NA,6.0,3.0,3.0,6.0,2.0,3.0,0.0,1.0,NaN,NaN,NaN,NaN,NaN,40000,NA,3,82.0,71.0,42.0,97.0,48.0,50.0,25.0,17.0,6/6/18 14:51,6/6/18 14:59,216.125.160.51,473,R_RDMwBlEKRQwKAHn,42.01820374,-88.21730042,m,32,Liberal,Asian,NaN,5,1,NaN,NaN,1.0,NaN,5.0,40.0,1.0,48.0,250,"Education, Training, and Library",1.0,5.0,3.0,3.0,non_profit,0,25,25,Bachelors,Both manager and IC,NA,1,5,Undergrad,Undergrad,25-34,1,1,0,0,0,0,0,0
CO,0,2.0,2.0,3.0,6.1,NaN,NaN,NaN,4.0,19,78,65,11,13,4,28,14,15,16,16,29,32,15,14,16,16,26,32,33,17,24,74,2,2,3,5,4,3,4,11,10,12,33,10,11,11,11,10,11,64,A2EZNZ6X58RTNR,0,5,A2EZNZ6X58RTNR,1.0,NaN,NaN,1.0,NaN,45.0,1.0,152,3.0,NA,CO,5.0,5.0,3.0,4.0,24,16,12,15,16,14,14,NA,NA,NA,NA,NA,NA,NA,131,NA,7,91,10,20,15,15,7,11,13,20,40,10,70,111,15,67,8,21,14,10,10,34,6.0,2.0,6.0,6,4,3,5,5,3,2,5,6,2.0,2.0,3.0,1.0,A2EZNZ6X58RTNR,0,100,5839,NA,NA,NA,NA,1.0,7.0,0.0,NaN,NaN,NaN,NaN,NaN,5.0,4.0,2.0,3.0,2.0,2.0,1.0,5.0,3.0,5.0,4.0,5.0,NA,23,NA,A2EZNZ6X58RTNR,351S7I5UG9DXSFUDEMZA53612H3JNM,16,51,CO,132.0,9.0,25.0,38.0,3.0,1.0,1.0,Straight,69.0,240.0,3.0,-10.0,3.0,2.0,-10.0,2.0,15,3.0,3.0,6.0,4.0,1.0,8.0,2.0,3.0,5.0,2.0,6.0,2.0,8.0,7.0,8.0,6.0,4.0,4.0,2.0,1.0,8.0,7.0,NaN,0.0,3.0,0.0,0.0,NaN,1.0,Yes,1.0,1.0,NA,2.0,1.0,3.0,1.0,1.0,2.0,0.0,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NA,4,24.0,55.0,80.0,100.0,86.0,91.0,15.0,9.0,6/6/18 14:43,6/6/18 14:48,156.98.122.250,336,R_3KDwHzZx1NBwyuf,44.9197998,-92.94380188,m,36,Far right,White,NaN,6,1,NaN,NaN,1.0,NaN,5.0,45.0,0.0,NaN,NaN,Business and Financial Operations,1.0,12.0,1.0,8.0,profit,6,3,3,Masters,Manager/team lead/exec,NA,4.333333333333333,6,Masters,Graduate,35-44,1,1,1,1,0,0,0,0
