StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ignored,excluded,belonged,mc_percent_ball,aas_happy,aas_anxious,aas_pleased,aas_angry,aas_frustrated,aas_depressed,aas_joyful,aas_unhappy,aas_enjoyment,aas_peaceful,aas_bored,aas_relaxed,1_static_add,1_static_continue,2_static_add,2_static_continue,3_static_add,3_static_continue,4_static_add,4_static_continue,5_static_add,5_static_continue,1_add,1_continue,2_add,2_continue,3_add,3_continue,4_add,4_continue,5_add,5_continue,6_add,6_continue,7_add,7_continue,8_add,8_continue,9_add,9_continue,10_add,10_continue,11_add,11_continue,12_add,12_continue,13_add,13_continue,14_add,14_continue,15_add,15_continue,16_add,16_continue,17_add,17_continue,18_add,18_continue,19_add,19_continue,20_add,20_continue,21_add,21_continue,22_add,22_continue,23_add,23_continue,24_add,24_continue,25_add,25_continue,26_add,26_continue,27_add,27_continue,28_add,28_continue,29_add,29_continue,30_add,30_continue,31_add,31_continue,32_add,32_continue,33_add,33_continue,34_add,34_continue,35_add,35_continue,36_add,36_continue,37_add,37_continue,38_add,38_continue,39_add,39_continue,40_add,40_continue,41_add,41_continue,42_add,42_continue,43_add,43_continue,44_add,44_continue,45_add,45_continue,46_add,46_continue,47_add,47_continue,48_add,48_continue,49_add,49_continue,50_add,50_continue,51_add,51_continue,52_add,52_continue,53_add,53_continue,54_add,54_continue,55_add,55_continue,56_add,56_continue,57_add,57_continue,58_add,58_continue,59_add,59_continue,60_add,60_continue,61_add,61_continue,62_add,62_continue,63_add,63_continue,64_add,64_continue,65_add,65_continue,66_add,66_continue,67_add,67_continue,68_add,68_continue,69_add,69_continue,70_add,70_continue,71_add,71_continue,72_add,72_continue,73_add,73_continue,74_add,74_continue,75_add,75_continue,76_add,76_continue,77_add,77_continue,78_add,78_continue,79_add,79_continue,80_add,80_continue,81_add,81_continue,82_add,82_continue,83_add,83_continue,84_add,84_continue,85_add,85_continue,86_add,86_continue,87_add,87_continue,88_add,88_continue,89_add,89_continue,90_add,90_continue,91_add,91_continue,92_add,92_continue,93_add,93_continue,94_add,94_continue,95_add,95_continue,96_add,96_continue,97_add,97_continue,98_add,98_continue,99_add,99_continue,100_add,100_continue,101_add,101_continue,102_add,102_continue,103_add,103_continue,104_add,104_continue,105_add,105_continue,n_tasks,SC2,start_value,current_total,base_pay,total_pay,code,bonus_1,bonus_2,total_bonus,dummy_var,total_correct,workerId,hitId,assignmentId,condition,play_for,condition_int,ignored_mstrength,excluded_mstrength,belonged_mstrength,missed_tasks,prop_tasks
8/6/18 15:29,8/6/18 15:34,IP Address,107.146.213.196,100,279,TRUE,8/6/18 15:34,R_R8hvJCrd16TjNnP,NA,NA,NA,NA,35.20440674,-118.8647995,anonymous,EN,1,1,4,33,6,1,6,1,1,1,6,1,6,6,1,6,6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,5,6,1,1,B0,0.12,0.02,0,TRUE,1,A1PTX4IB9R34LI,3R5OYNIC2CQR932V6VQ6BYY54UUTPS,39N5ACM9HF5BB8RAYRQR8ISH0CHP9Z,Included,Self,0,1,1,4,109,0.00909090909090909
8/6/18 15:29,8/6/18 15:34,IP Address,73.214.83.191,100,262,TRUE,8/6/18 15:34,R_3s5HOrvD417VFzh,NA,NA,NA,NA,39.64559937,-79.94329834,anonymous,EN,5,5,1,5,4,1,3,1,1,1,3,1,3,3,5,4,6,Yes,9,Yes,14,Yes,21,Yes,30,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,30,1,1.05,B14,0.12,0.02,0.14,TRUE,5,A2RCYLKY072XXO,3R5OYNIC2CQR932V6VQ6BYY54UUTPS,3EG49X351VUT2YR3MBXWILNICAIX6K,Excluded,Team,1,1,1,5,105,0.045454545454545456
8/6/18 15:29,8/6/18 15:35,IP Address,162.202.121.97,100,334,TRUE,8/6/18 15:35,R_2AKocBUdWgQq0hc,NA,NA,NA,NA,34.64379883,-92.97879791,anonymous,EN,5,5,1,5,1,4,2,3,5,4,1,5,1,2,7,3,6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,6,1,1,B0,0.12,0.02,0,TRUE,1,AYDQ1N5QFIQDM,3R5OYNIC2CQR932V6VQ6BYY54UUTPS,3QL2OFSM970D6LM0UWNQ6JOU6IJNCI,Excluded,Team,1,1,1,5,109,0.00909090909090909
8/6/18 15:29,8/6/18 15:35,IP Address,72.204.5.220,100,383,TRUE,8/6/18 15:35,R_1lxTcICDrgKHrb6,NA,NA,NA,NA,36.11889648,-93.98400116,anonymous,EN,5,5,1,3,2,3,2,3,4,4,1,4,2,2,3,2,6,Yes,9,Yes,14,Yes,21,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,21,1,1.04,B12,0.12,0.02,0.12,TRUE,4,A38KA8KXRLEM7M,3R5OYNIC2CQR932V6VQ6BYY54UUTPS,3BEFOD78W7B4TZOLPG28A6N69FT4MN,Excluded,Team,1,1,1,5,106,0.03636363636363636
8/6/18 15:29,8/6/18 15:36,IP Address,24.55.2.43,100,423,TRUE,8/6/18 15:36,R_1Lv8Kg8of9k63T8,NA,NA,NA,NA,30.41540527,-97.79820251,anonymous,EN,3,3,2,15,2,3,1,4,3,5,1,4,1,1,2,1,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,NA,NA,NA,NA,NA,NA,NA,NA,78,Yes,NA,NA,NA,NA,56,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,No,NA,NA,NA,NA,NA,NA,38,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,Yes,NA,NA,NA,NA,NA,NA,40,Yes,NA,NA,NA,NA,NA,NA,73,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,Yes,74,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,Yes,NA,NA,49,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,Yes,NA,NA,63,Yes,NA,NA,NA,NA,73,Yes,NA,NA,40,Yes,NA,NA,NA,NA,22,8,5,96,1,1.05,B14,0.12,0.02,0.14,TRUE,22,A1J9IYN46FX00O,3A3KKYU7P3YDGH9C9K3PHEB93J1WMP,3LUY3GC630I7XP3HJUS7UM1B5MTP7N,Included,Team,0,3,3,2,88,0.2
8/6/18 15:32,8/6/18 15:37,IP Address,24.10.22.33,100,286,TRUE,8/6/18 15:37,R_2gJrLh7qL6PCZqx,NA,NA,NA,NA,38.69320679,-121.3115997,anonymous,EN,3,2,2,27,4,1,4,1,3,1,4,1,4,4,2,5,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,No,30,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,5,39,1,1.14,B14,0.12,0.02,0.14,TRUE,7,AKVDY8OXNMQED,3A3KKYU7P3YDGH9C9K3PHEB93J1WMP,3DBQWDE4Y7GS70DLFM0ISDIKE1XN5A,Excluded,Self,1,3,4,4,103,0.06363636363636363
8/6/18 15:29,8/6/18 15:37,IP Address,75.84.158.230,100,477,TRUE,8/6/18 15:37,R_SVLBhlaCmNzor8R,NA,NA,NA,NA,34.17919922,-118.4616013,anonymous,EN,3,3,3,45,3,2,2,1,2,1,1,2,2,3,3,3,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,Yes,NA,NA,105,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,No,NA,NA,NA,NA,NA,NA,94,Yes,NA,NA,43,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,Yes,40,Yes,NA,NA,NA,NA,NA,NA,79,Yes,93,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,Yes,NA,NA,NA,NA,NA,NA,NA,NA,98,Yes,NA,NA,NA,NA,NA,NA,NA,NA,72,Yes,NA,NA,NA,NA,NA,NA,NA,NA,49,Yes,20,9,5,112,1,1.14,B14,0.12,0.02,0.14,TRUE,20,A6TXWXXFY47OR,3A3KKYU7P3YDGH9C9K3PHEB93J1WMP,3COPXFW7XCUVS4A12OHGYR6XB6TPKT,Included,Self,0,3,3,3,90,0.18181818181818182
8/6/18 15:30,8/6/18 15:38,IP Address,66.133.161.40,100,447,TRUE,8/6/18 15:38,R_3nugyzTezU7mf8M,NA,NA,NA,NA,40.95269775,-115.7906036,anonymous,EN,1,1,4,25,7,1,6,1,1,1,7,1,7,7,1,7,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,NA,NA,NA,NA,107,Yes,NA,NA,61,Yes,NA,NA,NA,NA,NA,NA,NA,NA,100,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,Yes,NA,NA,115,Yes,NA,NA,68,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,Yes,124,Yes,NA,NA,NA,NA,85,Yes,NA,NA,NA,NA,NA,NA,71,Yes,NA,NA,35,Yes,130,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,Yes,NA,NA,NA,NA,107,Yes,NA,NA,NA,NA,NA,NA,NA,NA,91,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,Yes,NA,NA,NA,NA,NA,NA,105,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,Yes,NA,NA,57,Yes,45,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,14,5,130,1,1.14,B14,0.12,0.02,0.14,TRUE,25,AYQH26R4KXW2K,3R5OYNIC2CQR932V6VQ6BYY54UUTPS,3WJ1OXY92BY4AZ2Y4G2GIR8BHK08AE,Included,Self,0,1,1,4,84,0.23636363636363636
8/6/18 15:30,8/6/18 15:38,IP Address,24.40.128.103,100,517,TRUE,8/6/18 15:38,R_3oz8kUGgeoW5xGz,NA,NA,NA,NA,36.03779602,-78.9858017,anonymous,EN,4,4,2,3,6,1,7,1,1,1,6,1,6,7,1,7,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,Yes,54,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,Yes,NA,NA,NA,NA,NA,NA,NA,NA,34,Yes,NA,NA,NA,NA,81,Yes,NA,NA,90,Yes,NA,NA,NA,NA,NA,NA,54,Yes,NA,NA,NA,NA,96,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,No,NA,NA,NA,NA,47,Yes,NA,NA,74,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,Yes,NA,NA,66,Yes,NA,NA,22,6,5,111,1,1.14,B14,0.12,0.02,0.14,TRUE,22,AJCHSQEDGHIMQ,3A3KKYU7P3YDGH9C9K3PHEB93J1WMP,3ON104KXQLE0YBIZTI8VJ4PX7H74WE,Excluded,Self,1,2,2,4,88,0.2
8/6/18 15:30,8/6/18 15:39,IP Address,66.214.20.108,100,513,TRUE,8/6/18 15:39,R_22LVpqiRvDh3VG0,NA,NA,NA,NA,33.793396,-118.1212006,anonymous,EN,3,3,3,23,2,2,2,2,2,2,2,2,2,2,6,2,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,47,Yes,NA,NA,NA,NA,80,Yes,NA,NA,NA,NA,NA,NA,120,Yes,NA,NA,102,Yes,120,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,Yes,NA,NA,NA,NA,NA,NA,30,Yes,NA,NA,123,Yes,NA,NA,113,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,Yes,NA,NA,NA,NA,NA,NA,NA,NA,93,Yes,NA,NA,NA,NA,NA,NA,67,Yes,77,Yes,55,Yes,NA,NA,NA,NA,NA,NA,NA,NA,105,Yes,NA,NA,NA,NA,NA,NA,91,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,Yes,NA,NA,NA,NA,NA,NA,3,Yes,NA,NA,84,Yes,NA,NA,NA,NA,NA,NA,NA,NA,132,Yes,NA,NA,NA,NA,NA,NA,70,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,Yes,29,9,5,140,1,1.05,B14,0.12,0.02,0.14,TRUE,28,A39DNHD26OMN4Q,3R5OYNIC2CQR932V6VQ6BYY54UUTPS,3483FV8BEF1S1IO6YMC3SVTMZ1I26F,Included,Team,0,3,3,3,81,0.2636363636363636
