StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ignored,excluded,belonged,mc_percent_ball,aas_happy,aas_anxious,aas_pleased,aas_angry,aas_frustrated,aas_depressed,aas_joyful,aas_unhappy,aas_enjoyment,aas_peaceful,aas_bored,aas_relaxed,1_static_add,1_static_continue,2_static_add,2_static_continue,3_static_add,3_static_continue,4_static_add,4_static_continue,5_static_add,5_static_continue,1_add,1_continue,2_add,2_continue,3_add,3_continue,4_add,4_continue,5_add,5_continue,6_add,6_continue,7_add,7_continue,8_add,8_continue,9_add,9_continue,10_add,10_continue,n_tasks,SC2,start_value,current_total,base_pay,total_pay,code,bonus_1,bonus_2,total_bonus,dummy_var,total_correct,workerId,hitId,assignmentId,condition,play_for,condition_int,ignored_mstrength,excluded_mstrength,belonged_mstrength,missed_tasks,prop_tasks
7/18/18 8:26,7/18/18 8:30,IP Address,12.12.130.164,100,277,TRUE,7/18/18 8:30,R_2rIdj9sIkNDc60y,NA,NA,NA,NA,41.60440063,-87.88950348,anonymous,EN,3,3,2,25,4,2,4,1,1,1,3,1,3,3,1,4,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,NA,NA,NA,NA,39,Yes,63,Yes,52,Yes,68,No,NA,NA,37,Yes,60,Yes,48,Yes,12,8,5,68,1,1.14,B14,0.12,0.02,0.14,TRUE,12,A1KFUXSVGSHL5Z,3ODOP6T3AS1B0BMZPWEM7DEKC4U42U,3OLF68YTNAJDPECLCU8MSJPXZR3AFO,Included,Self,0,3,3,2,3,0.8
7/18/18 8:26,7/18/18 8:31,IP Address,99.11.245.179,100,308,TRUE,7/18/18 8:31,R_2ctKSGaVGd3Spov,NA,NA,NA,NA,41.6269989,-88.20400238,anonymous,EN,5,5,2,0,2,5,1,2,4,3,1,3,1,4,5,1,6,Yes,9,Yes,14,Yes,21,Yes,3,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,31,1,1.04,B12,0.12,0.02,0.12,TRUE,4,A1ZIYWQ0PVQCSS,3PKVGQTFIH1822H4TTHUOAQZJX8RYG,33LK57MYLUNNURPFU6OKGBZLX23SZP,Excluded,Charity,1,1,1,4,10,0.3333333333333333
7/18/18 8:27,7/18/18 8:32,IP Address,65.88.88.156,100,354,TRUE,7/18/18 8:32,R_5vXbOIxcKQNKo1z,NA,NA,NA,NA,40.76249695,-73.95030212,anonymous,EN,3,3,2,20,4,1,2,1,1,1,1,1,3,3,1,4,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,NA,NA,31,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,5,31,1,1.14,B14,0.12,0.02,0.14,TRUE,6,A37XJVQF62ZYC,3PKVGQTFIH1822H4TTHUOAQZJX8RYG,358010RM5FBEHO64NJ54UD3HO6ZXV2,Included,Self,0,3,3,2,9,0.4
7/18/18 8:26,7/18/18 8:33,IP Address,108.64.75.194,100,462,TRUE,7/18/18 8:33,R_1dLxzG3u1AkoX3z,NA,NA,NA,NA,38.11289978,-122.1331024,anonymous,EN,2,2,4,30,5,3,3,1,3,2,4,2,3,4,3,4,6,Yes,9,Yes,14,Yes,21,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,12,5,21,1,1.04,B12,0.12,0.02,0.12,TRUE,4,AJRY9ALX8069Y,3ODOP6T3AS1B0BMZPWEM7DEKC4U42U,3X4JMASXCNRRBK2NFQPXKNMZB7Z0B5,Included,Charity,0,2,2,4,11,0.26666666666666666
7/18/18 8:30,7/18/18 8:34,IP Address,72.185.188.154,100,266,TRUE,7/18/18 8:34,R_1hFpPhwpXOnF3rX,NA,NA,NA,NA,28.01460266,-82.41699982,anonymous,EN,5,5,1,10,4,1,1,1,1,3,1,1,1,4,1,7,6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,6,1,1,B0,0.12,0.02,0,TRUE,1,A1F8ONXY28ROAA,3ODOP6T3AS1B0BMZPWEM7DEKC4U42U,3PEIJLRY6UBRWD69DTA0GFMVVF1XWC,Excluded,Self,1,1,1,5,14,0.06666666666666667
7/18/18 8:27,7/18/18 8:34,IP Address,38.100.151.206,100,432,TRUE,7/18/18 8:34,R_XZHFzuBas4nos37,NA,NA,NA,NA,29.74819946,-95.49089813,anonymous,EN,1,1,5,33,7,1,7,1,1,1,7,1,7,7,4,7,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,NA,NA,42,Yes,NA,NA,NA,NA,34,Yes,NA,NA,NA,NA,41,Yes,59,No,51,Yes,10,15,5,59,1,1.05,B14,0.12,0.02,0.14,TRUE,10,AV7UX8QQXABSK,3PKVGQTFIH1822H4TTHUOAQZJX8RYG,3FTYUGLFSV3JLOM8QSMFW86QV0M5D2,Included,Team,0,1,1,5,5,0.6666666666666666
7/18/18 8:29,7/18/18 8:35,IP Address,70.176.4.129,100,357,TRUE,7/18/18 8:35,R_2Cwtmtfd9Lw9XoV,NA,NA,NA,NA,33.61349487,-112.2333984,anonymous,EN,5,5,1,2,3,1,2,2,2,1,1,1,1,3,2,4,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,37,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,Yes,NA,NA,NA,NA,7,3,5,37,1,1.05,B14,0.12,0.02,0.14,TRUE,7,A2XQ3CFB5HT2ZQ,3PKVGQTFIH1822H4TTHUOAQZJX8RYG,3UOUJI6MTEWE49H4ITVZYR1YAZQXUD,Excluded,Team,1,1,1,5,8,0.4666666666666667
7/18/18 8:32,7/18/18 8:38,IP Address,68.44.129.34,100,343,TRUE,7/18/18 8:38,R_1H1pjWOpReTcfpP,NA,NA,NA,NA,40.15379333,-85.62129974,anonymous,EN,5,5,1,3,1,2,1,3,7,1,1,6,1,3,5,4,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,66,Yes,67,Yes,61,Yes,70,Yes,74,Yes,66,Yes,36,Yes,42,Yes,50,Yes,59,Yes,15,3,5,74,1,1.05,B14,0.12,0.02,0.14,TRUE,14,A11BSFO4LMHPXQ,3PKVGQTFIH1822H4TTHUOAQZJX8RYG,34MAJL3QP5537DGBJYXTE7E04R234X,Excluded,Charity,1,1,1,5,0,1
7/18/18 8:33,7/18/18 8:39,IP Address,175.158.200.177,100,336,TRUE,7/18/18 8:39,R_1IrNAE51GscEiY0,NA,NA,NA,NA,16.41639709,120.5931091,anonymous,EN,2,2,3,25,3,4,3,2,3,2,3,2,4,3,3,2,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,37,Yes,75,Yes,42,Yes,40,Yes,46,Yes,57,Yes,52,Yes,37,Yes,65,Yes,74,Yes,15,11,5,75,1,1.05,B14,0.12,0.02,0.14,TRUE,15,A89R5XGMHOTJE,3PKVGQTFIH1822H4TTHUOAQZJX8RYG,39GXDJN2OUWO2N5WFBTCEEMOXXQV8S,Included,Charity,0,2,2,3,0,1
7/18/18 8:35,7/18/18 8:39,IP Address,73.182.224.118,100,279,TRUE,7/18/18 8:39,R_2eW4mDw9Bh3bdv5,NA,NA,NA,NA,41.30940247,-72.9240036,anonymous,EN,1,1,5,33,6,1,7,1,1,1,6,1,5,7,1,7,6,Yes,9,Yes,14,Yes,21,Yes,30,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,15,5,30,1,1.05,B14,0.12,0.02,0.14,TRUE,5,A1TARNH07A75CG,3PKVGQTFIH1822H4TTHUOAQZJX8RYG,3L0KT67Y8FYNP1FAYKM124QJR8ZSYY,Included,Team,0,1,1,5,10,0.3333333333333333
7/18/18 8:26,7/18/18 8:42,IP Address,173.88.65.163,100,952,TRUE,7/18/18 8:42,R_qwuTHnMx84GPBw5,NA,NA,NA,NA,39.68780518,-82.604599,anonymous,EN,5,4,2,5,3,1,4,1,1,1,4,1,5,4,1,4,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,69,Yes,31,Yes,NA,NA,34,Yes,73,No,63,Yes,69,Yes,58,Yes,51,Yes,43,Yes,14,5,5,73,1,1.05,B14,0.12,0.02,0.14,TRUE,14,A1IS0218RVG60K,3ODOP6T3AS1B0BMZPWEM7DEKC4U42U,34T446B1C1WALPUTTQLSV7SHTSZ0CC,Excluded,Team,1,1,2,4,1,0.9333333333333333
7/18/18 8:33,7/18/18 8:43,IP Address,190.124.31.61,100,591,TRUE,7/18/18 8:43,R_2XodwXceIbtW4iu,NA,NA,NA,NA,10.31669617,-72.3167038,anonymous,EN,5,4,5,0,6,3,6,2,2,2,6,2,5,6,2,6,6,Yes,9,Yes,14,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,5,14,1,1.12,B12,0.12,0.02,0.12,TRUE,3,A16ZR6O5HQP5AM,3ODOP6T3AS1B0BMZPWEM7DEKC4U42U,358UUM7WR0LS92JWWMWWZH1Q1787RP,Excluded,Self,1,1,2,1,12,0.2
7/18/18 8:26,7/18/18 8:43,IP Address,24.182.92.247,100,1035,TRUE,7/18/18 8:43,R_2w0ubx298jXkpCw,NA,NA,NA,NA,35.76660156,-81.33550262,anonymous,EN,1,1,5,30,6,1,6,1,1,1,4,1,6,6,1,5,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,48,Yes,58,Yes,57,Yes,75,Yes,34,Yes,72,Yes,48,Yes,55,Yes,42,Yes,67,Yes,15,15,5,75,1,1.05,B14,0.12,0.02,0.14,TRUE,15,A2871R3LEPWMMK,3ODOP6T3AS1B0BMZPWEM7DEKC4U42U,3OXV7EAXLF8HM0KP2MQ8B5YE0I836I,Included,Team,0,1,1,5,0,1
7/18/18 8:39,7/18/18 8:45,IP Address,24.216.119.105,100,328,TRUE,7/18/18 8:45,R_3MujwwxWyD8YOMM,NA,NA,NA,NA,38.3177948,-88.89209747,anonymous,EN,5,5,1,5,5,1,5,1,1,1,6,1,6,5,1,6,6,Yes,9,Yes,14,Yes,21,Yes,30,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,30,1,1.05,B14,0.12,0.02,0.14,TRUE,5,AMPMTF5IAAMK8,3PKVGQTFIH1822H4TTHUOAQZJX8RYG,37UQDCYH6YDK290D56160EQTMDKV75,Excluded,Charity,1,1,1,5,10,0.3333333333333333
7/18/18 8:56,7/18/18 9:02,IP Address,124.104.206.131,100,388,TRUE,7/18/18 9:02,R_1jvScadHTNbgDLD,NA,NA,NA,NA,14.60420227,120.9822083,anonymous,EN,2,2,4,45,5,4,5,1,3,4,5,3,4,3,3,5,6,Yes,9,Yes,14,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,12,5,14,1,1.12,B12,0.12,0.02,0.12,TRUE,3,A3KCZB9IL6CVH,3PKVGQTFIH1822H4TTHUOAQZJX8RYG,3GNA64GUZFMDAXQDVESZW7DPEFAQ5R,Included,Self,0,2,2,4,12,0.2
7/18/18 9:02,7/18/18 9:05,IP Address,67.222.218.83,100,198,TRUE,7/18/18 9:05,R_2w6upklVQtUqP7k,NA,NA,NA,NA,39.35220337,-84.29940033,anonymous,EN,5,5,1,4,3,3,1,NA,2,1,1,2,1,1,5,3,6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,6,1,1,B0,0.12,0.02,0,TRUE,1,A1G4QY3W5J5PMW,3ODOP6T3AS1B0BMZPWEM7DEKC4U42U,3W92K5RLWVZ5F5MUHDM92UCXV7PV5Q,Excluded,Team,1,1,1,5,14,0.06666666666666667
7/18/18 9:23,7/18/18 9:30,IP Address,73.168.184.71,100,446,TRUE,7/18/18 9:30,R_3n17vMay3D85DfE,NA,NA,NA,NA,41.58430481,-87.37310028,anonymous,EN,3,3,3,20,5,2,3,2,2,1,3,1,4,3,1,4,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,59,Yes,59,Yes,41,Yes,62,Yes,39,Yes,35,Yes,75,Yes,69,Yes,58,Yes,50,Yes,15,9,5,75,1,1.14,B14,0.12,0.02,0.14,TRUE,15,A2N2GFB33ZMYGF,3ODOP6T3AS1B0BMZPWEM7DEKC4U42U,31Z0PCVWULX5PHWO0B1RZW28PS57T2,Included,Self,0,3,3,3,0,1
7/18/18 9:38,7/18/18 9:44,IP Address,174.86.143.20,100,336,TRUE,7/18/18 9:44,R_8eHk489VQutA5sl,NA,NA,NA,NA,38.6499939,-90.53340149,anonymous,EN,5,5,1,0,4,1,3,1,2,1,1,2,1,2,6,4,6,Yes,9,Yes,14,Yes,21,Yes,31,Yes,31,Yes,64,No,NA,NA,42,Yes,NA,NA,NA,NA,54,Yes,49,Yes,39,Yes,63,Yes,12,3,5,64,1,1.04,B12,0.12,0.02,0.12,TRUE,10,AHPOOKYE7V04D,3ODOP6T3AS1B0BMZPWEM7DEKC4U42U,354P56DE9LL4AHJ9BBW1PR6MN9R7SD,Excluded,Charity,1,1,1,5,3,0.8
7/18/18 9:57,7/18/18 10:00,IP Address,216.129.126.126,100,202,TRUE,7/18/18 10:00,R_3nISVt1Q2OQUGdV,NA,NA,NA,NA,37.38870239,-122.0187988,anonymous,EN,5,4,1,5,6,3,5,2,3,2,5,2,6,4,2,5,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,Yes,NA,NA,42,No,NA,NA,NA,NA,7,4,5,42,1,1.05,B14,0.12,0.02,0.14,TRUE,7,A3DU63P4KYJHOO,3ECKRY5B1QDVETOQZSP4OPYA2V4IZ5,3C2NJ6JBKBZ083UYX3YKU6F8PVR2NC,Excluded,Charity,1,1,2,5,8,0.4666666666666667
7/18/18 9:57,7/18/18 10:01,IP Address,107.160.101.199,100,239,TRUE,7/18/18 10:01,R_3UArQZFAzwa8mwF,NA,NA,NA,NA,34.07290649,-118.2606049,anonymous,EN,4,3,2,25,3,3,3,5,5,5,3,5,3,3,5,3,6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,5,6,1,1,B0,0.12,0.02,0,TRUE,1,AKPXWXJFLHM08,3IZVJEBJ6A1FL9TPXRGFRM85T496ZZ,3WMINLGALCL6M2SBLSILKD4U2F4AC8,Excluded,Team,1,2,3,4,14,0.06666666666666667
7/18/18 9:57,7/18/18 10:01,IP Address,107.2.16.121,100,220,TRUE,7/18/18 10:01,R_3peZB8ZfYwshETt,NA,NA,NA,NA,32.30889893,-111.1662979,anonymous,EN,5,5,1,10,4,1,4,1,1,1,4,1,4,4,7,7,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,No,6,3,5,39,1,1.05,B14,0.12,0.02,0.14,TRUE,6,A610SH5RY1NG1,37VHPF5VYCKPHU13YST5023BQHDC8S,39LNWE0K4VEHEES9J7VYVHEJMNGUI6,Excluded,Team,1,1,1,5,9,0.4
