workerId,mturk_id,demog_age,demog_edu,demog_gender,demog_sexuality,demog_veteran,demog_employed,demog_selfemployed,demog_income,demog_race,godard_1,godard_2,godard_3,godard_4,ignored,excluded,belonged,mc_percent_ball,aas_happy,aas_anxious,aas_pleased,aas_angry,aas_frustrated,aas_depressed,aas_joyful,aas_unhappy,aas_enjoyment,aas_peaceful,aas_bored,aas_relaxed,n_tasks,condition,intervention,play_for,age_range,aas_pos,aas_neg,missed_tasks,prop_tasks,cnd_intervention
A14FPZMC9ENX8E,A14FPZMC9ENX8E,23,Some college,Female,Heterosexual,No,Yes,No,35000,Hispanic or Latinx,4,3,3,4,1,1,3,25,4,1,3,1,1,1,4,1,4,4,1,5,7,inclusion,none,players,under_25,4,1,103,0.06363636363636363,Inclusion (control)
A14VL38I4VK03K,A14VL38I4VK03K,21,Some college,Male,Heterosexual,No,Yes,No,27500,White/Caucasian,3,2,4,4,3,4,2,10,5,3,5,1,1,1,4,1,4,3,1,4,9,exclusion,birdshot_wisdom,players,under_25,4.166666666666667,1.3333333333333333,101,0.08181818181818182,Perspective
A2WWYVKGZZXBOB,A2WWYVKGZZXBOB,25,Bachelor's degree,Female,Heterosexual,Yes,Yes,No,NA,Black/African American,3,3,3,3,5,5,1,10,1,1,1,1,2,1,1,2,1,1,7,4,13,exclusion,none,players,25-34,1.5,2.3333333333333335,97,0.11818181818181818,Exclusion (control)
A77K8W55MJEKX,A77K8W55MJEKX,30,Bachelor's degree,Female,Heterosexual,No,Yes,No,54500,White/Caucasian,4,4,2,2,5,5,1,10,2,4,1,3,3,3,1,4,2,2,2,3,14,exclusion,none,players,25-34,1.8333333333333333,3.1666666666666665,96,0.12727272727272726,Exclusion (control)
A3QUTOJ3J3ZIMV,A3QUTOJ3J3ZIMV,32,Associate's degree,Male,Heterosexual,No,Yes,No,44000,White/Caucasian,4,4,4,4,5,5,1,1,3,5,2,5,5,5,1,7,1,1,7,1,12,exclusion,prompt_fix,players,25-34,1.5,5.666666666666667,98,0.10909090909090909,Empowerment
A3I2WAUMPO0831,A3I2WAUMPO0831,26,Master's degree,Male,Heterosexual,No,Yes,No,29000,White/Caucasian,5,2,3,4,5,5,1,1,1,2,1,4,4,4,1,4,1,1,2,2,10,exclusion,none,players,25-34,1.1666666666666667,3.3333333333333335,100,0.09090909090909091,Exclusion (control)
A2N0E53RVOTC4E,A2N0E53RVOTC4E,38,Bachelor's degree,Male,Heterosexual,Yes,Yes,No,100000,White/Caucasian,5,5,1,1,5,5,1,3,1,1,1,2,7,6,1,7,1,3,7,7,20,exclusion,none,players,35-44,2.3333333333333335,5,90,0.18181818181818182,Exclusion (control)
A3NS31CYXLXTDA,A3NS31CYXLXTDA,26,Bachelor's degree,Male,Heterosexual,No,Yes,No,35000,Hispanic or Latinx,4,2,2,2,5,5,1,1,1,3,1,6,5,2,1,6,1,1,4,1,10,exclusion,prompt_help,players,25-34,1,4.333333333333333,100,0.09090909090909091,Mentorship
A23PQPECIUVKHC,A23PQPECIUVKHC,30,Bachelor's degree,Male,Heterosexual,No,Yes,No,45000,White/Caucasian,4,4,1,1,5,5,1,1,3,3,3,5,5,2,2,4,2,2,5,4,8,exclusion,none,players,25-34,2.6666666666666665,4,102,0.07272727272727272,Exclusion (control)
A1MJWY7UO3CDSM,A1MJWY7UO3CDSM,31,Master's degree,Male,Heterosexual,No,Yes,No,95000,White/Caucasian,5,5,1,1,5,5,1,5,3,5,3,4,4,3,2,4,2,3,5,3,24,exclusion,prompt_help,players,25-34,2.6666666666666665,4.166666666666667,86,0.21818181818181817,Mentorship
